h,p,d1,d2,w1,w2,BW1,BW2,RF1,RF2
0.02,15.0,13.0,9.0,1.0,1.5,1.0,3.0,6.5,13.5
0.02,15.0,13.0,9.0,1.0,1.0,1.0,2.5,6.5,12.0
0.02,15.0,13.0,9.0,1.0,2.5,1.0,3.5,6.5,17.5
0.02,15.0,13.0,9.0,1.0,2.0,1.0,3.5,6.5,15.5
0.02,16.0,15.0,12.0,1.0,1.5,1.0,2.5,4.5,9.0
0.02,16.0,15.0,12.0,1.0,1.0,1.0,2.0,4.5,8.0
0.02,16.0,15.0,12.0,1.0,2.5,1.0,3.5,5.0,11.5
0.02,16.0,15.0,12.0,1.0,2.0,1.0,3.0,4.5,10.0
0.02,16.0,15.0,12.0,1.0,3.0,1.0,4.5,5.0,13.0
0.02,20.0,15.0,8.0,1.5,1.0,1.0,1.25,6.5,13.0
0.02,20.0,15.0,8.0,1.0,1.0,0.75,1.0,6.0,12.75
0.02,20.0,15.0,8.0,2.5,1.0,1.0,1.75,7.5,13.0
0.02,20.0,15.0,8.0,2.0,1.0,1.0,1.5,7.0,13.0
0.02,20.0,15.0,8.0,3.0,1.0,1.0,2.0,8.0,12.75
0.02,20.0,19.0,15.0,1.0,1.5,0.75,1.5,3.5,6.75
0.02,20.0,19.0,15.0,1.0,1.0,0.75,1.25,3.5,6.25
0.02,20.0,19.0,15.0,1.0,2.5,0.75,2.25,3.5,8.0
0.02,20.0,19.0,15.0,1.0,2.0,0.75,2.0,3.5,7.5
0.02,20.0,19.0,15.0,1.0,3.0,0.75,2.75,3.5,9.0
0.02,5.0,4.5,2.5,0.15,0.15,3.0,5.0,15.0,36.0
0.02,5.0,4.5,2.5,0.1,0.1,3.0,3.0,15.0,34.0
0.02,5.0,4.5,2.5,0.25,0.25,4.0,6.0,16.0,40.0
0.02,5.0,4.5,2.5,0.2,0.2,4.0,5.0,16.0,38.0
0.02,5.0,4.5,2.5,0.35,0.35,5.0,7.0,17.0,43.0
0.02,5.0,4.5,2.5,0.3,0.3,4.0,6.0,17.0,41.0
0.02,5.0,4.5,2.5,0.4,0.4,4.0,8.0,18.0,45.0
0.04,15.0,13.0,9.0,1.0,1.5,1.0,3.5,6.0,13.5
0.04,15.0,13.0,9.0,1.0,1.0,1.0,2.5,6.0,11.5
0.04,15.0,13.0,9.0,1.0,2.5,1.0,3.0,6.0,17.0
0.04,15.0,13.0,9.0,1.0,2.0,1.0,4.0,6.0,15.5
0.04,15.0,13.0,9.0,1.0,3.0,1.0,2.5,6.0,18.0
0.04,16.0,15.0,12.0,1.0,1.5,0.5,2.5,4.5,9.0
0.04,16.0,15.0,12.0,1.0,1.0,0.5,2.0,4.5,8.0
0.04,16.0,15.0,12.0,1.0,2.5,0.5,4.0,4.5,11.5
0.04,16.0,15.0,12.0,1.0,2.0,0.5,3.5,4.5,10.0
0.04,16.0,15.0,12.0,1.0,3.0,0.5,5.0,4.5,13.0
0.04,20.0,15.0,8.0,1.5,1.0,1.0,1.25,6.25,12.75
0.04,20.0,15.0,8.0,1.0,1.0,1.0,1.25,6.0,12.75
0.04,20.0,15.0,8.0,2.5,1.0,1.0,1.75,7.25,12.75
0.04,20.0,15.0,8.0,2.0,1.0,1.25,1.5,6.75,12.75
0.04,20.0,15.0,8.0,3.0,1.0,1.0,2.0,7.75,12.75
0.04,20.0,19.0,15.0,1.0,1.5,0.75,1.75,3.5,6.5
0.04,20.0,19.0,15.0,1.0,1.0,1.0,1.25,3.5,6.0
0.04,20.0,19.0,15.0,1.0,2.5,0.75,2.5,3.5,8.0
0.04,20.0,19.0,15.0,1.0,2.0,0.75,2.0,3.5,7.25
0.04,20.0,19.0,15.0,1.0,3.0,0.75,3.0,3.5,8.75
0.04,5.0,4.5,2.5,0.15,0.15,3.0,4.0,14.0,34.0
0.04,5.0,4.5,2.5,0.1,0.1,3.0,4.0,14.0,32.0
0.04,5.0,4.5,2.5,0.25,0.25,4.0,6.0,15.0,38.0
0.04,5.0,4.5,2.5,0.2,0.2,4.0,5.0,15.0,36.0
0.04,5.0,4.5,2.5,0.35,0.35,5.0,7.0,16.0,42.0
0.04,5.0,4.5,2.5,0.3,0.3,4.0,7.0,16.0,40.0
0.04,5.0,4.5,2.5,0.4,0.4,4.0,8.0,17.0,44.0
0.08,15.0,13.0,9.0,1.0,1.5,1.0,3.0,6.0,13.0
0.08,15.0,13.0,9.0,1.0,1.0,1.0,2.5,6.0,11.5
0.08,15.0,13.0,9.0,1.0,2.5,1.0,3.0,6.0,17.0
0.08,15.0,13.0,9.0,1.0,2.0,1.0,3.5,6.0,15.0
0.08,15.0,13.0,9.0,1.0,3.0,1.0,2.5,6.0,17.5
0.08,16.0,15.0,12.0,1.0,1.5,1.0,3.0,4.5,8.5
0.08,16.0,15.0,12.0,1.0,1.0,1.0,2.0,4.5,7.5
0.08,16.0,15.0,12.0,1.0,2.5,1.0,4.0,4.5,11.0
0.08,16.0,15.0,12.0,1.0,2.0,1.0,3.0,4.5,9.5
0.08,16.0,15.0,12.0,1.0,3.0,1.0,4.5,4.5,12.5
0.08,20.0,15.0,8.0,1.5,1.0,1.0,1.5,6.0,12.5
0.08,20.0,15.0,8.0,1.0,1.0,0.75,1.5,5.75,12.25
0.08,20.0,15.0,8.0,2.5,1.0,1.0,1.75,7.0,12.5
0.08,20.0,15.0,8.0,2.0,1.0,1.0,1.75,6.5,12.5
0.08,20.0,15.0,8.0,3.0,1.0,1.0,2.25,7.5,12.25
0.08,20.0,19.0,15.0,1.0,1.5,0.75,1.75,3.25,6.5
0.08,20.0,19.0,15.0,1.0,1.0,0.75,1.25,3.25,5.75
0.08,20.0,19.0,15.0,1.0,2.5,0.75,2.5,3.25,7.75
0.08,20.0,19.0,15.0,1.0,2.0,0.75,2.25,3.25,7.0
0.08,20.0,19.0,15.0,1.0,3.0,0.75,2.75,3.25,8.75
0.08,5.0,4.5,2.5,0.15,0.15,3.0,5.0,13.0,32.0
0.08,5.0,4.5,2.5,0.1,0.1,3.0,4.0,12.0,30.0
0.08,5.0,4.5,2.5,0.25,0.25,3.0,6.0,14.0,36.0
0.08,5.0,4.5,2.5,0.2,0.2,4.0,5.0,14.0,34.0
0.08,5.0,4.5,2.5,0.35,0.35,5.0,8.0,15.0,40.0
0.08,5.0,4.5,2.5,0.3,0.3,4.0,7.0,15.0,38.0
0.08,5.0,4.5,2.5,0.4,0.4,4.0,8.0,16.0,41.0
0.16,15.0,13.0,9.0,1.0,1.5,0.7999999999999998,3.200000000000001,5.6,12.8
0.16,15.0,13.0,9.0,1.0,1.0,0.7999999999999998,2.4000000000000004,5.6,10.8
0.16,15.0,13.0,9.0,1.0,2.5,1.0,3.0,5.5,16.0
0.16,15.0,13.0,9.0,1.0,3.0,1.0,2.0,5.5,16.5
0.16,16.0,15.0,12.0,1.0,1.5,0.5,3.0,4.0,8.0
0.16,16.0,15.0,12.0,1.0,1.0,1.0,2.0,4.0,7.0
0.16,16.0,15.0,12.0,1.0,2.5,0.5,4.0,4.0,10.5
0.16,16.0,15.0,12.0,1.0,2.0,0.5,3.5,4.0,9.5
0.16,16.0,15.0,12.0,3.0,1.0,0.5,4.5,4.0,12.0
0.16,20.0,15.0,8.0,1.5,1.0,1.0,1.75,5.75,12.0
0.16,20.0,15.0,8.0,1.0,1.0,1.0,1.25,5.5,12.0
0.16,20.0,15.0,8.0,2.5,1.0,1.0,2.0,6.75,12.0
0.16,20.0,15.0,8.0,2.0,1.0,0.75,1.75,6.25,12.0
0.16,20.0,15.0,8.0,3.0,1.0,1.0,2.5,7.0,12.0
0.16,20.0,19.0,15.0,1.0,1.5,0.75,1.75,3.0,6.25
0.16,20.0,19.0,15.0,1.0,1.0,0.75,1.25,3.0,5.5
0.16,20.0,19.0,15.0,1.0,2.5,0.75,2.5,3.0,7.5
0.16,20.0,19.0,15.0,1.0,2.0,0.75,2.0,3.0,6.75
0.16,20.0,19.0,15.0,1.0,3.0,0.75,3.0,3.0,8.25
0.16,5.0,4.5,2.5,0.15,0.15,3.0,4.0,12.0,30.0
0.16,5.0,4.5,2.5,0.1,0.1,3.0,3.0,11.0,28.0
0.16,5.0,4.5,2.5,0.25,0.25,4.0,5.0,13.0,33.0
0.16,5.0,4.5,2.5,0.2,0.2,3.0,5.0,12.0,31.0
0.16,5.0,4.5,2.5,0.35,0.35,4.0,8.0,14.0,37.0
0.16,5.0,4.5,2.5,0.3,0.3,4.0,7.0,13.0,35.0
0.16,5.0,4.5,2.5,0.4,0.4,4.0,8.0,14.0,38.0
0.2,15.0,13.0,9.0,1.0,1.5,1.2000000000000002,3.200000000000001,5.2,12.4
0.2,15.0,13.0,9.0,1.0,1.0,1.2000000000000002,2.8000000000000007,5.2,10.8
0.2,15.0,13.0,9.0,1.0,2.5,1.0,3.0,5.5,16.0
0.2,15.0,13.0,9.0,1.0,2.0,1.2000000000000002,3.5999999999999996,5.2,14.4
0.2,15.0,13.0,9.0,1.0,3.0,1.0,2.0,5.5,16.5
0.2,16.0,15.0,12.0,1.0,1.5,1.0,3.0,4.0,8.0
0.2,16.0,15.0,12.0,1.0,1.0,1.0,2.0,4.0,7.0
0.2,16.0,15.0,12.0,1.0,2.5,1.0,4.0,4.0,10.5
0.2,16.0,15.0,12.0,1.0,2.0,1.0,3.0,4.0,9.0
0.2,16.0,15.0,12.0,1.0,3.0,1.0,4.0,4.0,12.0
0.2,20.0,15.0,8.0,1.5,1.0,1.0,1.5,5.75,11.75
0.2,20.0,15.0,8.0,1.0,1.0,0.75,1.25,5.25,11.75
0.2,20.0,15.0,8.0,2.5,1.0,0.75,2.0,6.5,11.75
0.2,20.0,15.0,8.0,2.0,1.0,1.0,2.0,6.25,11.75
0.2,20.0,15.0,8.0,3.0,1.0,0.75,2.75,6.75,11.75
0.2,20.0,19.0,15.0,1.0,1.5,0.75,1.75,3.0,6.0
0.2,20.0,19.0,15.0,1.0,1.0,0.75,1.5,3.0,5.5
0.2,20.0,19.0,15.0,1.0,2.5,0.75,2.5,3.0,7.5
0.2,20.0,19.0,15.0,1.0,2.0,0.75,2.0,3.0,6.75
0.2,20.0,19.0,15.0,1.0,3.0,0.75,2.75,3.0,8.25
0.2,5.0,4.5,2.5,0.15,0.15,4.0,5.0,11.0,29.0
0.2,5.0,4.5,2.5,0.1,0.1,3.0,4.0,11.0,27.0
0.2,5.0,4.5,2.5,0.25,0.25,4.0,5.0,12.0,32.0
0.2,5.0,4.5,2.5,0.2,0.2,3.0,5.0,12.0,30.0
0.2,5.0,4.5,2.5,0.35,0.35,5.0,7.0,13.0,35.0
0.2,5.0,4.5,2.5,0.3,0.3,4.0,6.0,13.0,34.0
0.2,5.0,4.5,2.5,0.4,0.4,4.0,8.0,14.0,37.0
0.4,15.0,13.0,9.0,1.0,1.5,0.7999999999999998,3.1999999999999993,4.8,11.6
0.4,15.0,13.0,9.0,1.0,1.0,0.7999999999999998,2.799999999999999,4.8,10.0
0.4,15.0,13.0,9.0,1.0,2.5,0.7999999999999998,2.3999999999999986,4.8,14.8
0.4,15.0,13.0,9.0,1.0,2.0,0.7999999999999998,3.200000000000001,4.8,13.2
0.4,15.0,13.0,9.0,1.0,3.0,0.7999999999999998,1.5999999999999996,4.8,14.8
0.4,16.0,15.0,12.0,1.0,1.5,0.75,2.75,3.5,7.5
0.4,16.0,15.0,12.0,1.0,1.0,1.0,2.0,3.5,6.5
0.4,16.0,15.0,12.0,1.0,2.5,0.75,3.75,3.5,9.75
0.4,20.0,15.0,8.0,1.5,1.0,0.7857142857142811,1.5714285714285996,5.321428571428571,11.2142857142857
0.4,20.0,15.0,8.0,1.0,1.0,1.0,1.5,5.0,11.0
0.4,20.0,19.0,15.0,1.0,1.5,0.75,1.75,2.75,5.75
0.4,20.0,19.0,15.0,1.0,1.0,0.75,1.25,2.75,5.0
0.4,20.0,19.0,15.0,1.0,2.5,0.5,2.5,2.75,7.0
0.4,20.0,19.0,15.0,1.0,2.0,0.5,2.0,2.75,6.25
0.4,20.0,19.0,15.0,1.0,3.0,0.5,2.75,2.75,7.75
0.4,5.0,4.5,2.5,0.15,0.15,4.0,4.0,11.0,26.0
0.4,5.0,4.5,2.5,0.1,0.1,3.0,3.0,10.0,25.0
0.4,5.0,4.5,2.5,0.25,0.25,3.0,5.0,11.0,29.0
0.4,5.0,4.5,2.5,0.2,0.2,3.0,4.0,11.0,27.0
0.4,5.0,4.5,2.5,0.35,0.35,4.0,6.0,12.0,32.0
0.4,5.0,4.5,2.5,0.3,0.3,4.0,6.0,12.0,30.0
0.4,5.0,4.5,2.5,0.4,0.4,5.0,7.0,12.0,33.0
0.8,15.0,13.0,9.0,1.0,1.5,0.75,2.75,4.25,10.25
0.8,15.0,13.0,9.0,1.0,1.0,0.75,2.25,4.25,9.0
0.8,15.0,13.0,9.0,1.0,2.5,0.75,2.25,4.25,13.25
0.8,15.0,13.0,9.0,1.0,3.0,0.75,1.5,4.25,13.5
0.8,16.0,15.0,12.0,1.5,1.5,1.0,2.5,3.25,6.75
0.8,16.0,15.0,12.0,1.0,1.0,1.0,2.0,3.25,6.0
0.8,16.0,15.0,12.0,2.0,2.0,1.0,3.0,3.25,7.5
0.8,20.0,15.0,8.0,1.5,1.0,0.7857142857142811,1.571428571428557,4.928571428571429,10.0357142857143
0.8,20.0,15.0,8.0,1.0,1.0,0.5,1.5,4.5,10.0
0.8,20.0,15.0,8.0,2.5,1.0,1.0,2.0,5.5,10.5
0.8,20.0,15.0,8.0,2.0,1.0,0.5,2.0,5.0,10.5
0.8,20.0,15.0,8.0,3.0,1.0,0.5,3.0,5.5,10.5
0.8,20.0,19.0,15.0,1.0,1.5,0.75,1.75,2.5,5.25
0.8,20.0,19.0,15.0,1.0,1.0,0.75,1.25,2.5,4.75
